Driver,AvgLapTime,StdLapTime,AvgS1,AvgS2,AvgS3,StintLength,OvertakeScore,PitStopCount,Cluster,PCA1,PCA2
VER,85.64675,1.920974471,29.58825,18.4735,37.585,3,3,0,2,-1.764408527,2.305016235
ANT,86.203,1.841306058,30.257,18.741,37.205,2,0,0,3,1.142130106,0.568492462
LEC,86.051,1.103086579,30.18,18.7255,37.1455,2,1,0,3,0.505787107,-0.067388932
STR,86.4195,1.246629255,30.3515,18.723,37.345,2,0,0,3,1.390561252,0.511431926
TSU,85.67,2.087379218,30.5135,18.45,36.7065,2,1,0,0,0.720084334,0.4904743
ALB,85.862,1.788980156,30.4195,18.488,36.9545,2,0,0,0,1.015418374,0.520127911
HUL,86.3575,1.576141015,30.56,18.9945,36.803,2,0,0,3,1.58231144,-0.696037332
LAW,84.9615,1.71208596,29.376,18.79325,36.79225,4,7,0,2,-4.672642139,0.759693253
NOR,86.01333333,2.414951649,30.38583333,18.72083333,36.90666667,3,0,0,3,0.413644716,1.063614475
HAM,85.863,2.32638131,30.5415,18.767,36.5545,2,0,0,3,1.202279804,-0.288327297
BOR,84.481,0.40870772,29.5685,18.8015,36.111,2,0,0,1,-1.765417446,-3.749240651
RUS,85.652,0.830143361,30.063,18.7225,36.8665,2,0,0,1,0.158814353,-1.151313821
PIA,85.247,2.406707502,30.10666667,18.575,36.56533333,2,0,0,0,0.071436626,-0.266542528
