Driver,AvgLapTime,StdLapTime,AvgS1,AvgS2,AvgS3,StintLength,OvertakeScore,PitStopCount,Cluster,PCA1,PCA2
PIA,97.26113725490197,1.163881042368298,31.086176470588235,42.29866666666667,23.87629411764706,22,4.0,0,2,-5.12569834060288,-0.5670123124094291
RUS,98.1583448275862,0.6670312841165309,31.297172413793103,42.83024137931035,24.030931034482755,17,4.0,0,3,-1.1682089788380432,-3.274862249338495
NOR,97.64603921568629,1.038605429617704,31.189274509803923,42.38133333333332,24.07543137254902,22,21.0,0,2,-2.9328921146315317,0.160423280620944
LEC,97.75470588235295,1.068242786900388,31.25937254901961,42.39288235294118,24.102450980392156,22,8.0,0,2,-2.9493076727300775,-0.5239951771150011
HAM,98.06276470588233,1.1193947934171442,31.192941176470583,42.69023529411764,24.17958823529412,22,22.0,0,2,-1.9434136151028318,0.2322134995042555
VER,98.083375,0.9605173832976797,31.157291666666666,42.678791666666676,24.247291666666666,26,40.0,0,0,-0.9909363249193149,2.4737469234044327
GAS,98.16930612244897,0.9212408345107518,31.438285714285712,42.507938775510205,24.223081632653063,24,26.0,0,0,-0.6312986133283411,0.7488832648192056
OCO,98.2981875,0.6564276517393874,31.268833333333333,42.81433333333333,24.21502083333333,25,28.0,0,0,0.048573750655627336,0.9417142994825973
TSU,98.59692000000001,0.82008615376181,31.24126,43.04236,24.313300000000005,22,29.0,0,3,0.5288056386369093,0.12757675826476433
BEA,98.69532,0.8506106915454491,31.290320000000005,43.15258000000001,24.25242,22,29.0,0,3,0.6637104413036842,-0.012765611474057581
ANT,98.43214285714286,0.932403904789479,31.155918367346942,43.0455918367347,24.230632653061225,22,30.0,0,3,-0.38496554586281456,0.3293529041056054
ALB,98.65652000000001,0.9334449086855744,31.26374,43.130959999999995,24.261819999999997,22,36.0,0,3,0.5411851722698291,0.48364623282425695
HAD,98.80166666666666,0.8590984966523647,31.41627083333334,43.14247916666667,24.242916666666662,24,22.0,0,1,0.8748191650100214,0.19135206853401626
DOO,98.60529166666667,0.7362597529125607,31.476375,42.88070833333333,24.248208333333334,24,35.0,0,0,1.189298172743,0.7731975260726203
ALO,99.04068,0.8456307497353427,31.541020000000003,43.09356,24.406100000000002,22,36.0,0,1,2.3690211076660925,0.200339789305696
LAW,98.87235999999999,0.9434609270215304,31.365060000000003,43.14476,24.36254,22,28.0,0,1,1.1418081736733317,0.05715312546561314
STR,99.2416,0.6716914986716412,31.461400000000005,43.327259999999995,24.452939999999998,22,24.0,0,1,2.8630277859486966,-0.5777960027437354
BOR,99.34140000000001,0.749557311528149,31.43562,43.3645,24.541279999999997,22,20.0,0,1,2.9038701572161036,-0.5960928726476491
SAI,99.03874285714285,0.9296984439261242,31.45025714285715,43.25331428571428,24.335171428571424,16,38.0,0,1,1.9978113276912208,-1.752450597297394
HUL,98.82000000000001,0.8424488620126344,31.393375000000002,43.111687499999995,24.3149375,25,21.0,0,1,1.0047903132013174,0.585375150621753
