Driver,AvgLapTime,StdLapTime,AvgS1,AvgS2,AvgS3,StintLength,OvertakeScore,PitStopCount,Cluster,PCA1,PCA2
PIA,96.91558490566035,0.7603127755673025,25.987452830188683,29.255509433962267,41.67262264150942,41,2.0,0,2,-2.7846076933440393,-1.924166745186138
NOR,97.10528301886791,0.9405130223888554,25.958075471698116,29.353792452830184,41.79341509433962,40,6.0,0,2,-2.414849661825687,-1.023868401633033
RUS,97.14262264150943,0.8463794890458431,26.03767924528302,29.392716981132075,41.71222641509434,41,2.0,0,2,-2.1540603363140187,-1.627707079412237
VER,97.19945283018868,1.05027783075274,25.98216981132075,29.43224528301887,41.785037735849045,42,12.0,0,2,-2.1978360297449324,-0.1658648971786196
OCO,97.75441509433965,1.005987162212824,26.158264150943396,29.576283018867926,42.019867924528306,44,13.0,0,0,-0.4543733253675638,0.08967100094556879
ANT,97.8205283018868,1.0278796622879247,26.173018867924533,29.659169811320755,41.98833962264151,43,15.0,0,0,-0.20948847532125453,0.28309051472121105
ALB,97.79654716981132,1.0077998421168173,26.15752830188679,29.602207547169815,42.03681132075471,35,26.0,0,0,0.015352324755270996,1.0397575483967134
BEA,97.92383018867926,1.2191762309641883,26.204773584905663,29.72620754716981,41.99284905660377,29,28.0,0,0,0.4591903708883135,1.6998908217024666
STR,98.14443396226415,1.1268631837886227,26.21203773584906,29.633,42.29939622641509,34,22.0,0,0,0.885059105692586,1.2496858590842268
SAI,98.16235849056605,0.8403108420821148,26.19916981132076,29.71503773584906,42.248150943396226,38,28.0,0,0,1.1204976322033058,0.9458862139582487
HAD,97.89384313725489,1.032591349422394,26.146019607843137,29.65886274509804,42.088960784313734,22,20.0,0,0,0.5208596374505818,0.4065828965279954
LAW,97.82366666666665,1.2740452529901232,26.027039215686276,29.6684705882353,42.12815686274511,25,20.0,0,0,-0.14133053697693962,1.1113684985106203
DOO,98.23120754716982,0.9098459793260578,26.27328301886793,29.6877358490566,42.270188679245294,44,17.0,0,0,1.0978901145159274,0.3897020385350084
BOR,98.13323529411767,1.157747581957921,26.193529411764704,29.610078431372546,42.3296274509804,28,5.0,0,0,0.7887433550126907,-0.18174085294157455
HUL,98.82701960784314,1.133592086955375,26.32411764705882,29.948647058823532,42.55425490196078,34,19.0,0,0,2.861120884959115,1.2440284329658684
TSU,97.80293749999998,0.9790377474358475,26.190208333333334,29.59775,42.01497916666667,22,23.0,0,0,0.42465976935644184,0.482084516144564
ALO,99.42349999999999,0.236880771697489,26.441000000000003,30.3705,42.612,2,0.0,0,3,6.0965394779566,-3.418185186438361
LEC,97.32975471698111,0.7231181918942956,26.005452830188673,29.55809433962264,41.76620754716981,40,10.0,0,2,-1.487061190888406,-1.3218817088054033
HAM,96.95188235294117,1.2377332288834915,25.88094117647059,29.266039215686277,41.80490196078433,22,12.0,0,1,-2.680073163248975,-0.007957249962589426
GAS,98.04932075471697,1.0137794057877774,26.124056603773585,29.622603773584906,42.3026603773585,45,18.0,0,0,0.25376774024098403,0.7296237800654632
