Driver,AvgLapTime,StdLapTime,AvgS1,AvgS2,AvgS3,StintLength,OvertakeScore,PitStopCount,Cluster,PCA1,PCA2
VER,80.30517647058824,1.1683075229729944,25.528235294117653,27.923215686274506,26.853725490196084,27,0.0,0,3,-4.713903802735482,-1.0547666654138077
GAS,81.62552083333334,0.7071557049519576,25.816104166666662,28.506145833333335,27.303270833333332,24,22.0,0,2,1.017230923780632,0.10523727876987174
ANT,81.92165,0.7084675969283534,25.903499999999998,28.675675000000002,27.342475,27,10.0,0,2,1.3948506798640605,-0.025738717203879987
ALO,81.81046808510638,0.8932533077382836,25.8706170212766,28.572893617021276,27.366957446808513,28,28.0,0,2,1.1600713319547677,1.8817559778899013
LEC,80.90864,0.9743533860034188,25.551540000000003,28.336619999999996,27.02048,25,24.0,0,0,-1.7649731342410075,0.6572980640633763
STR,82.00533333333333,0.7129056913945179,25.904708333333332,28.61629166666667,27.484333333333336,27,27.0,0,2,2.1399579004296765,1.3688110905122708
TSU,81.81318750000001,0.8857333698092311,25.989874999999998,28.49525,27.3280625,24,17.0,0,2,1.2011518005524144,-0.024851942411679716
ALB,81.19214000000001,0.9813715518890597,25.6409,28.324599999999997,27.226639999999996,26,8.0,0,0,-1.3455080607320178,-0.37675652103583884
HUL,81.96504081632652,0.7532765085274589,25.931836734693878,28.672163265306125,27.361040816326533,25,18.0,0,2,1.816960437224054,0.26395111406125193
LAW,81.70885416666667,0.7328287364750002,25.87625,28.499458333333333,27.333145833333333,24,17.0,0,2,1.1163108837216642,-0.26424377138034544
OCO,82.24768181818182,0.4651896066442899,26.116090909090907,28.629454545454553,27.50213636363636,22,7.0,0,2,3.184517699056187,-1.7784582413007157
NOR,80.48894,1.215729702940684,25.526220000000002,28.02442,26.938299999999998,26,4.0,0,3,-4.05756552337492,-0.7366773581571514
COL,81.97500000000001,0.8418668437518468,25.757340425531922,28.71925531914894,27.498404255319144,19,27.0,0,1,2.318404514773847,-0.0895348042269402
HAM,81.2256346153846,1.3427737027576527,25.682692307692314,28.412249999999997,27.130692307692307,27,15.0,0,0,-1.7751988244422547,1.0677181635565811
BOR,81.8660612244898,0.651624169804551,25.82248979591837,28.58748979591837,27.45608163265306,15,16.0,0,1,2.3297145384283118,-2.3484332157766845
SAI,81.33224489795919,0.8122208117924854,25.625448979591834,28.44195918367347,27.264836734693876,24,20.0,0,0,-0.1723938944563598,0.03188722622783056
HAD,81.50338,0.9267571702733468,25.70642,28.42612,27.37084,26,12.0,0,0,-0.15839504260491585,0.01818057442037106
RUS,81.17667999999999,0.8077252624449949,25.69268,28.371579999999998,27.112419999999997,25,22.0,0,0,-0.6532157608833633,0.28818538546455025
PIA,80.54348979591836,0.9268392552660042,25.520448979591837,28.041510204081636,26.981530612244892,24,19.0,0,3,-2.8356501717443954,-0.377452268174212
BEA,81.54283673469388,1.1832527967946864,25.737040816326534,28.49612244897959,27.309673469387754,26,23.0,0,0,-0.20236649457090422,1.3938886301152495
