Driver,AvgLapTime,StdLapTime,AvgS1,AvgS2,AvgS3,StintLength,OvertakeScore,PitStopCount,Cluster,PCA1,PCA2
VER,92.51333333333336,0.9966266034311273,32.394176470588235,42.05582352941176,18.063333333333333,31,8.0,0,2,-3.4593724379255897,-0.6055543677177726
NOR,92.50682352941176,1.0072408193849642,32.362411764705875,42.0836862745098,18.06072549019608,31,8.0,0,2,-3.441254076564858,-0.5637396948567142
PIA,92.54107843137255,1.1021654838205976,32.388411764705886,42.01956862745098,18.133098039215685,32,8.0,0,2,-2.8732380015634034,-0.41887142432336416
LEC,92.78623529411766,0.9847857348324113,32.609901960784306,42.08723529411765,18.08909803921569,31,14.0,0,2,-2.5367766753271974,0.475024649493391
RUS,92.81270588235293,1.088065518139742,32.400411764705886,42.261039215686274,18.151254901960787,33,14.0,0,2,-1.9125661277926629,0.927486931979609
ANT,92.76788235294119,1.2423383057293027,32.503647058823525,42.178078431372555,18.086156862745096,30,10.0,0,2,-1.8121725540018625,0.10445665586901372
HAM,93.0102745098039,1.1381696548130502,32.63545098039216,42.21539215686275,18.15943137254902,29,11.0,0,0,-1.1309812667397148,-0.2616687057332837
HAD,93.10994117647058,1.1962659304981442,32.63586274509804,42.2776274509804,18.196450980392154,27,15.0,0,0,-0.4068100051240375,0.2671819955429636
ALB,93.15309803921566,1.2908133289504247,32.69629411764706,42.317352941176466,18.139450980392155,28,18.0,0,0,-0.16171969192193353,1.361797765722607
BEA,93.44382352941174,1.1654349867046614,32.71225490196078,42.453294117647054,18.278274509803925,29,12.0,0,0,0.7075954705345257,-0.24741036698326194
ALO,93.36370000000001,1.1150991033105897,32.80886,42.35236,18.20248,28,14.0,0,0,0.08033534896765397,0.037345613913037416
TSU,93.48907843137253,1.2644900765626792,32.91392156862745,42.340568627450985,18.234588235294115,29,9.0,0,0,0.8855157234091788,-0.5955765895344808
GAS,93.46219607843136,1.3230754629968449,32.76182352941177,42.480725490196086,18.219647058823526,28,15.0,0,0,1.1160568784176905,0.6671914444421316
SAI,93.80290196078433,1.4402687562382506,33.06798039215686,42.53556862745098,18.19935294117647,32,17.0,0,1,2.3022036187379693,1.9507246098632463
DOO,93.89068627450979,1.0982295113535436,32.987529411764704,42.56996078431373,18.33319607843137,37,7.0,0,1,1.7153526356123971,-0.27973190869414494
HUL,93.93360784313727,1.176421830440618,33.01903921568627,42.674647058823524,18.23992156862745,30,8.0,0,1,2.01375901119631,-0.7490003416428125
LAW,93.96113725490196,1.1610230836569575,33.14233333333333,42.539490196078425,18.279313725490198,32,15.0,0,1,2.157575521612348,0.764974698017694
OCO,93.93772549019607,1.2550725728567473,32.94898039215686,42.66545098039216,18.32329411764706,31,13.0,0,1,2.5835625929285375,0.3613599694110888
BOR,93.83643999999998,1.2523383542275592,33.044740000000004,42.57218000000001,18.21952,29,15.0,0,1,1.9756202264976732,0.6613602119735708
STR,93.81340425531914,1.235095114442863,33.04046808510638,42.45193617021277,18.321,20,1.0,0,3,2.197313809046972,-3.857351146742518
