Driver,AvgLapTime,StdLapTime,AvgS1,AvgS2,AvgS3,StintLength,OvertakeScore,PitStopCount,Cluster,PCA1,PCA2
VER,91.75430612244897,1.124618216775542,30.762938775510204,34.9925306122449,25.99883673469388,24,3.0,0,3,-1.4595924514252645,-1.1554416816943045
GAS,92.58247999999999,1.000805945430064,31.19864,35.35152,26.03232,24,9.0,0,2,0.27206411748868903,1.1225030053097194
ANT,91.94524489795917,0.8889946927712841,30.90842857142857,35.08622448979592,25.95059183673469,24,9.0,0,2,-0.882740082772817,0.5740492937410528
ALO,92.83514583333334,0.6362708171433188,31.27364583333333,35.52277083333333,26.038729166666666,23,6.0,0,2,1.5558189826077173,0.1784656824458973
LEC,91.99370588235294,1.0700945059968798,31.022196078431374,35.113,25.85850980392157,24,11.0,0,2,-1.301578458010707,1.3105734026177058
STR,92.94731914893617,0.7609343257493434,31.426765957446815,35.569148936170215,25.95140425531915,29,7.0,0,2,1.1012607670582386,0.9057764130626467
TSU,92.15020000000003,0.90450897717818,30.90078,35.2218,26.02762,24,7.0,0,2,-0.32960407547264003,0.17094727827660705
ALB,91.82344897959184,1.0037049712030364,31.125857142857143,34.92902040816327,25.76857142857143,24,5.0,0,0,-1.5596619599006019,-0.6238725636630599
HUL,92.54168750000001,1.0667194721110378,31.136145833333334,35.362249999999996,26.043291666666665,19,10.0,0,2,0.3201539576838381,1.205440727967664
LAW,94.1119642857143,0.7088988582794026,32.0175,35.87142857142857,26.223035714285718,6,2.0,0,1,5.004568066954724,-0.7953396952798978
OCO,92.31781249999999,0.917045920014312,31.115958333333335,35.28639583333333,25.915458333333333,29,10.0,0,2,-0.5178413462259678,1.3991550855321846
NOR,91.2699019607843,1.260994992137589,30.659156862745096,34.83047058823529,25.78027450980392,24,3.0,0,3,-2.9656154180495125,-1.414251840883589
HAM,92.0372156862745,1.109630700976239,30.980176470588237,35.20088235294117,25.8561568627451,24,9.0,0,2,-1.2203592865021538,0.8090474762406672
BOR,93.27027272727274,0.5365725603812709,31.610454545454544,35.53004545454545,26.129772727272726,4,4.0,0,1,3.5996598858769535,-1.045611783869878
SAI,91.98242857142856,0.9892567285593763,31.274612244897963,34.967285714285715,25.7405306122449,24,10.0,0,0,-1.3979618449177378,0.9251061543445311
HAD,92.22853061224491,1.1015180453590854,31.01720408163265,35.09132653061224,26.12,31,7.0,0,2,-0.7768336280160973,0.6291333944082426
RUS,91.78907843137254,1.0358683862950393,30.771098039215687,35.11056862745098,25.907411764705888,24,3.0,0,3,-1.3422049424426274,-1.1579118705532365
PIA,91.11294,0.8778847353562024,30.532780000000002,34.80854,25.771620000000002,23,1.0,0,3,-2.490375224671306,-2.3936227000432257
BEA,93.562125,0.37911708785591186,31.808291666666673,35.636916666666664,26.11691666666667,4,5.0,0,1,4.39084294073727,-0.644145777959727
